NDC,RxNorm,Count_10years
0006-3822-10,140108,14
0006-3823-10,140108,1
0006-3841-30,88249,1400
0006-3843-71,325642,77
0006-3845-01,325642,147
0006-3845-71,325642,147
0006-3862-03,358255,1
0006-3915-68,2019,673
0006-3916-68,2019,5098
0006-3917-68,2019,690
0006-3918-68,2019,979
0006-3919-68,2019,1069
0006-3941-01,357280,33
0006-3941-32,357280,33
0006-4045-00,659877,14
0006-4045-01,659877,14
0006-4045-41,659877,14
0006-4093-01,55523,2
0006-4093-02,55523,2
0006-4093-09,55523,2
0006-4094-01,55523,11
0006-4094-02,55523,11
0006-4096-01,115386,4
0006-4096-02,115386,4
0006-4109-01,659877,14
0006-4109-02,659877,14
0006-4109-09,659877,14
0006-4119-01,798262,2
0006-4119-03,798262,2
0006-4229-30,851994,12
0006-4826-00,287578,27
0006-4827-00,287578,27
0006-4827-01,287578,27
0006-4837-01,287523,355
0006-4837-02,287523,355
0006-4837-03,287523,355
0006-4841-00,115386,4
0006-4841-01,115386,4
0006-4841-41,115386,4
0006-4943-00,287523,355
0006-4943-01,287523,355
0006-4963-00,658273,187
0006-4963-01,658273,187
0006-4963-41,658273,187
0006-4981-00,55523,2
0006-4981-01,55523,2
0006-4992-00,55523,3
0006-4992-01,55523,3
0006-4995-00,55523,11
0006-4995-01,55523,11
0006-4995-41,55523,11
0006-5363-03,1992672,64
0006-5363-06,1992672,64
0006-5363-07,1992672,64
0006-5364-03,1992672,36
0006-5364-06,1992672,36
0006-5364-07,1992672,36
0006-5368-03,593411,1
0006-5368-06,593411,1
0006-5370-03,6809,1
0006-5370-06,6809,1
0006-5370-07,6809,1
0006-5373-03,6809,1
0006-5373-06,6809,1
0006-5373-07,6809,1
0006-5374-03,6809,3
0006-5374-06,6809,3
0006-5374-07,6809,3
0006-5420-30,896135,7
0006-5420-54,896135,7
0006-5424-02,89887,1
0006-9117-31,88249,43540
0006-9117-54,88249,43540
0006-9275-31,88249,13800
0007-3236-01,321208,129
0007-3236-11,321208,129
0007-3361-03,8704,1
0007-3370-13,20352,334
0007-3371-13,20352,481
0007-3372-13,20352,451
0007-3373-13,20352,256
0007-3650-22,5487,5329
0007-3650-30,5487,5329
0007-4139-20,20352,1891
0007-4140-20,20352,2507
0007-4141-20,20352,2428
0007-4142-20,20352,2884
0007-4205-11,57308,5
0007-4207-11,57308,11
0007-4407-01,15202,4
0007-4407-54,15202,4
0007-4640-13,711942,84
0007-4641-13,711942,85
0007-4642-13,711942,23
0007-4643-13,711942,20
0007-4882-13,72302,98
0007-4883-13,72302,56
0007-4885-13,72302,168
0007-4887-13,72302,111
0007-4887-59,72302,111
0007-4888-13,72302,163
0007-4888-59,72302,163
0007-4890-20,72302,2935
0007-4891-20,72302,2757
0007-4892-20,72302,3158
0007-4893-20,72302,1307
0007-4894-20,72302,189
0007-4895-20,72302,500
0007-4896-20,72302,448
0007-5074-20,2403,4
0007-5180-22,642274,93
0007-5180-25,642274,93
0008-0019-01,8745,1
0008-0027-02,8745,289
0008-0027-07,8745,289
0008-0075-01,4124,5
0008-0075-02,4124,5
0008-0078-01,4124,1
0008-0078-02,4124,1
0008-0227-01,8745,1
0008-0550-01,2670,7
0008-0550-02,2670,7
0008-0606-01,40790,32146
0008-0607-01,40790,240196
0008-0607-04,40790,240196
0008-0690-01,6142,14
0008-0833-02,39786,16634
0008-0833-03,39786,16634
0008-0833-20,39786,16634
0008-0833-21,39786,16634
0008-0833-22,39786,16634
0008-0836-02,39786,15259
0008-0836-03,39786,15259
0008-0836-20,39786,15259
0008-0836-21,39786,15259
0008-0836-22,39786,15259
0008-0837-02,39786,7167
0008-0837-03,39786,7167
0008-0837-20,39786,7167
0008-0837-21,39786,7167
0008-0837-22,39786,7167
0008-0841-81,40790,38682
0008-0843-81,40790,7742
0008-0844-01,40790,3893
0008-0844-02,40790,3893
0008-0923-51,40790,172
0008-0923-55,40790,172
0008-0923-60,40790,172
0008-0941-01,40790,172
0008-0941-02,40790,172
0008-0941-03,40790,172
0008-1030-04,35302,47
0008-1030-06,35302,47
0008-1040-05,35302,31
0008-1040-10,35302,31
0008-1041-05,35302,426
0008-1041-10,35302,426
0008-1042-05,35302,78
0008-1123-12,4099,59
0008-1179-01,657797,3
0008-1210-30,711372,19
0008-1211-01,711372,2609
0008-1211-14,711372,2609
0008-1211-30,711372,2609
0008-1211-50,711372,2609
0008-1211-70,711372,2609
0008-1222-01,711372,1445
0008-1222-14,711372,1445
0008-1222-30,711372,1445
0008-1222-50,711372,1445
0008-2001-01,40790,172
0008-2001-10,40790,172
0008-2001-25,40790,172
0008-2511-01,4124,6
0008-2511-02,4124,6
0008-4001-01,40790,172
0008-4001-10,40790,172
0008-4001-25,40790,172
0008-4126-01,6058,1
0008-4153-01,6058,10
0008-4153-03,6058,10
0008-4154-01,6058,14
0008-4154-02,6058,14
0008-4159-01,6058,4
0008-4990-01,384455,31
0008-4990-02,384455,31
0008-4990-19,384455,31
0008-4990-20,384455,31
0008-4994-19,384455,31
0008-4994-20,384455,31
0009-0003-02,6902,6
0009-0011-03,5492,246
0009-0011-04,5492,246
0009-0012-01,5492,603
0009-0013-05,5492,14
0009-0013-06,5492,14
0009-0016-12,5492,3
0009-0017-55,10767,363
0009-0017-58,10767,363
0009-0018-20,6902,21
0009-0020-01,6902,193
0009-0022-01,6902,251
0009-0029-01,596,20690
0009-0029-02,596,20690
0009-0031-01,5492,411
0009-0039-05,6902,15
0009-0039-06,6902,15
0009-0039-28,6902,15
0009-0039-30,6902,15
0009-0039-32,6902,15
0009-0039-33,6902,15
0009-0044-01,5492,120
0009-0045-01,8640,4
0009-0045-02,8640,4
0009-0045-16,8640,4
0009-0047-03,6902,13
0009-0047-04,6902,13
0009-0047-22,6902,13
0009-0047-25,6902,13
0009-0047-26,6902,13
0009-0047-27,6902,13
0009-0050-02,6691,7581
0009-0050-11,6691,7581
0009-0055-01,596,24331
0009-0055-03,596,24331
0009-0056-02,6902,1512
0009-0056-04,6902,5
0009-0057-07,596,571
0009-0059-07,596,430
0009-0064-04,6691,392
0009-0065-01,6691,392
0009-0066-07,596,200
0009-0068-07,596,50
0009-0073-01,6902,89
0009-0085-10,10379,153
0009-0086-01,10379,694
0009-0086-10,10379,694
0009-0090-01,596,11312
0009-0090-04,596,11312
0009-0094-01,596,1736
0009-0176-01,6902,16
0009-0193-01,8640,3
0009-0193-02,8640,3
0009-0225-02,2582,717
0009-0233-01,1291,1946
0009-0233-03,1291,1946
0009-0233-44,1291,1946
0009-0233-45,1291,1946
0009-0234-01,1291,1946
0009-0234-02,1291,1946
0009-0241-01,1291,1946
0009-0241-10,1291,1946
0009-0260-01,2685,184
0009-0260-02,2685,42
0009-0260-04,2685,184
0009-0260-17,2685,42
0009-0271-01,4083,47
0009-0274-01,6902,68
0009-0280-02,6902,118
0009-0280-03,6902,118
0009-0280-51,6902,118
0009-0280-52,6902,118
0009-0286-03,6691,638
0009-0287-01,6691,638
0009-0302-02,2582,2
0009-0302-25,2582,2
0009-0306-02,6902,74
0009-0306-12,6902,74
0009-0315-08,,4
0009-0323-01,,2
0009-0331-02,2582,13
0009-0341-01,4815,28
0009-0347-02,10379,153
0009-0349-03,,1
0009-0352-01,4815,50
0009-0352-04,4815,50
0009-0353-01,,1
0009-0370-03,2685,10
0009-0370-05,2685,24
0009-0395-14,2582,2022
0009-0417-01,10379,694
0009-0417-02,10379,694
0009-0450-03,2685,2844
0009-0520-01,10379,694
0009-0520-10,10379,694
0009-0602-04,2582,1
0009-0602-25,2582,1
