rxcui	ndcs
763181	['00591505221', '00603533715', '33261078001', '50090043900', '55045126009', '55700004921', '63629462401', '68788728102', '70954005830']
1873991	['00078086001', '00078088821']
1873990	[]
1374574	['00078063011', '00078063035']
1374570	[]
1300061	[]
1092412	[]
1092411	[]
905095	[]
905094	[]
1013629	['00781407515', '00781407552', '68180089411', '68180089413']
1013630	['50419040700', '50419040701', '50419040703', '50419040770', '50419040771', '50419040775']
1813112	['52544029831', '52544029841']
748798	['00378729953', '00378729985', '31722093431', '31722093432', '53002173501', '53002173503', '53002173506', '59746076342', '59746076343', '61916009030', '68462072029', '68462072084', '71205014428', '75834011629', '75834011684']
993804	['00093542328', '00093542358', '00093542362', '66116047028']
1099026	['00781565615', '70700011484', '70700011485']
1543553	['57297088611', '57297088613', '68180088611', '68180088613', '68180088671', '68180088673']
1233850	['52544098228', '52544098231']
748856	['35356025528', '50419040501', '50419040503']
1435164	[]
1484902	[]
1484903	[]
1037184	[]
1037185	['00430042014', '00430042095']
1426600	['00378731553', '00378731585', '52544005841', '52544005872', '68462037629', '68462037684', '70700010184', '70700010185']
1873704	['68180091111', '68180091113', '68180091171', '68180091173']
1426601	['00430054014', '00430054050']
1421461	[]
1809905	['00023586228', '00023586230']
1359117	['00378730153', '00378730185', '59762159901', '59762159905', '60219103106', '60219103107']
1722680	['68180086411', '68180086413', '68180086471', '68180086473']
1595453	[]
1652084	['00093532828', '00093532862']
1605091	['16714041601', '16714041602', '16714041603', '16714041604']
1359118	['00430053014']
1486801	['65162031658', '65162031684']
1721965	['52544016731', '52544016741']
1607990	['00378730853', '00378730885']
1099897	['00023603003', '52544020431']
1727521	['57297090311', '57297090313', '68180090311', '68180090313']
1650201	['52544006431']
1541224	[]
1541222	[]
834395	[]
1869595	['70868010727', '71297012727']
1363410	['42388001214']
1363409	[]
1483550	[]
1483551	['50419048201', '50419048203', '50419048271', '50419048272']
1483553	[]
1483554	['50419048301', '50419048303', '50419048371', '50419048372']
1359124	['00378729453', '00378729485', '50742065801', '50742065828', '50742065868', '50742065884', '51991062328']
1359125	['60846020101', '60846023101']
1806683	['68180082911', '68180082913']
1550964	['69238125206', '69238125208']
1539190	['00093545428', '00093545462']
1359127	['00378729553', '00378729585', '50742065701', '50742065728', '50742065768', '50742065784', '51991047428']
1359128	['60846020201', '60846023201']
1806684	['68180083011', '68180083013']
1550965	['69238125106', '69238125108', '69238161006']
1359129	['00093545528', '00093545542']
1000490	[]
1000491	['00046110511', '35356027628']
1000496	[]
1000497	['00046110611', '35356027928']
1000395	[]
1000499	['00046110711', '35356027728']
1000398	[]
1000500	['00046110811', '35356027828']
761978	[]
1251334	['68462065629', '68462065684', '75834012929', '75834012984']
1251335	['00430014514']
1251336	['68462065729', '68462065784', '75834013029', '75834013084']
1251337	[]
751553	['68462063729', '68462063784']
1112715	['52544029528', '52544029531']
751554	[]
