"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0029","B54LZZ3","10000",1,0,0,0,0
"0029","B347ZZ3","10000",1,0,0,0,0
"0029","B24DZZ3","10000",1,0,0,0,0
"0029","B446ZZ3","10000",1,0,0,0,0
"0029","B544ZZ3","10000",1,0,0,0,0
"0029","B345ZZ3","10000",1,0,0,0,0
"0029","B54TZZ3","10000",1,0,0,0,0
"0029","B34JZZ3","10000",1,0,0,0,0
"0029","B44LZZ3","10000",1,0,0,0,0
"0030","A020","00000",0,0,0,0,0
"0031","8E0WXBG","10000",1,0,0,0,0
"0031","8E0YXBG","10000",1,0,0,0,0
"0031","8E09XBG","10000",1,0,0,0,0
"0031","A021","10000",1,0,0,0,0
"0031","8E0XXBG","10000",1,0,0,0,0
"0032","8E0YXBH","10000",1,0,0,0,0
"0032","8E0WXBH","10000",1,0,0,0,0
"0032","8E0XXBH","10000",1,0,0,0,0
"0032","8E09XBH","10000",1,0,0,0,0
"00320","A0220","00000",0,0,0,0,0
"00321","A0221","00000",0,0,0,0,0
"00322","A0222","00000",0,0,0,0,0
"00323","A0223","00000",0,0,0,0,0
"00324","A0224","00000",0,0,0,0,0
"00329","A0229","10000",1,0,0,0,0
"0033","8E0YXBF","10000",1,0,0,0,0
"0033","8E0XXBF","10000",1,0,0,0,0
"0033","8E0WXBF","10000",1,0,0,0,0
"0033","8E09XBF","10000",1,0,0,0,0
"0034","8E0XXBZ","10000",1,0,0,0,0
"0034","8E09XBZ","10000",1,0,0,0,0
"0034","8E0YXBZ","10000",1,0,0,0,0
"0034","8E0WXBZ","10000",1,0,0,0,0
"0035","8E09XBZ","10000",1,0,0,0,0
"0035","8E0WXBZ","10000",1,0,0,0,0
"0035","8E0XXBZ","10000",1,0,0,0,0
"0035","8E0YXBZ","10000",1,0,0,0,0
"0038","A028","00000",0,0,0,0,0
"0039","A029","00000",0,0,0,0,0
"0039","8E0WXBZ","10000",1,0,0,0,0
"0039","8E0XXBZ","10000",1,0,0,0,0
"0039","8E09XBZ","10000",1,0,0,0,0
"0039","8E0YXBZ","10000",1,0,0,0,0
"0040","NoPCS","11000",1,1,0,0,0
"0040","A030","00000",0,0,0,0,0
"0041","A031","00000",0,0,0,0,0
"0041","NoPCS","11000",1,1,0,0,0
"0042","A032","00000",0,0,0,0,0
