code	desc
מ-פסכאכ	0: מ-פסכאכ~1: מרפאת הפרעות אכילה טיפול יום
מ-דשתיל	0: מ-דשתיל~1: מרפאת דרכי שתן ילדים
מ-דיאלי	0: מ-דיאלי~1: מרפאת דיאליזה-ילדים
מ-פרזיס	0: מ-פרזיס~1: מרפאת ליפופרזיס
מ-פסכמ	"0: מ-פסכמ~1: מרפאת פסיכיאטריה-משהב""ט"
מ-מיוחד	0: מ-מיוחד~1: מרפאת ייעוץ משפחתי
מ-פל.פל	0: מ-פל.פל~1: כירורגית פלסטית אסטתית-מרפאה
מ-היפרתר	0: מ-היפרתר~1: מרפאת אונקולוגיה היפרתרמיה
מ-אאגי	0: מ-אאגי~1: מרפאת אף אוזן גרון ילדים
מכ-מנעממ	0: מכ-מנעממ~1: מרכז לגילוי מוקדם ולמניעת סרטן
מ-תייראב	0: מ-תייראב~1: מרפאת תיירות מרפא ,אבחון
מ-ראומפס	0: מ-ראומפס~1: מרפאת ראומטולוגיה- תעסוקה
מ-אורתאס	0: מ-אורתאס~1: מרפאה לאחר שבר אוסטאופורוטי
מ-אחרשבר	0: מ-אחרשבר~1: אוסיטופורוזיס-מרפאה
מכ-אלר7	0: מכ-אלר7~1: מרפאת אלרגיה - נשים
מ-אנגרפ	0: מ-אנגרפ~1: מרפאת רדיולוגיה פולשנית מעקב
מ-סגתז	0: מ-סגתז~1: מרפאת פרסונל-תזונה ודיאטה
מ-זהומיל	0: מ-זהומיל~1: מרפאת מחלות זיהומיות-ילדים
מ-הלםפצע	0: מ-הלםפצע~1: גלי הלם פצע- מרפאה
מ-טקרדיל	0: מ-טקרדיל~1: טיפול יום קרדיולוגיה ילדים
מכ-אלר9	0: מכ-אלר9~1: מרפאת IVF וירלי
מ-כירחזצ	0: מ-כירחזצ~1: מרפאת כירורגית חזה-צפת
מ-קהילה	0: מ-קהילה~1: מרפאת יעוצים
מ-ילאקרו	0: מ-ילאקרו~1: מרפאת סיכון קרדיווסקולרי ילדים
מ-פסנויר	0: מ-פסנויר~1: מרפאה לטיפולי נוירומודולציה
מ-המטדחף	0: מ-המטדחף~1: המטולוגיה -טיפול יום דחוף
מ-גמיל	0: מ-גמיל~1: מרכז גמילה מסמים
מ-מיומה	0: מ-מיומה~1: מרפאת שרירני הרחם
מ-שולבחך	0: מ-שולבחך~1: אורתודנטיה ופה ולסת
מ-פהלסחך	0: מ-פהלסחך~1: פה ולסת ואורתודנטיה
מ-ילדאי	0: מ-ילדאי~1: מרפאת ילדים-אשפוז יום
Null	None
מ-המעי	"0: מ-המעי~1: מרפאת השתלת מ""ע ילדים"
