routecode	routecodeHier	formcode	formcodeHier	Route|FORM
3162	0: 3162~1: S.C	0	None	S.C|AMP
3162	0: 3162~1: S.C	50489	0: 50489~1: DRP	S.C|AMP
3162	0: 3162~1: S.C	97832	0: 97832~1: I.M	Unknown
3162	0: 3162~1: S.C	50502	0: 50502~1: SPR	Unknown
3162	0: 3162~1: S.C	50492	0: 50492~1: GEL	Unknown
3162	0: 3162~1: S.C	97834	0: 97834~1: P.O	Unknown
3162	0: 3162~1: S.C	50498	0: 50498~1: UNG	Unknown
3162	0: 3162~1: S.C	50503	0: 50503~1: SUP	Unknown
3162	0: 3162~1: S.C	50497	0: 50497~1: OINT	Unknown
3162	0: 3162~1: S.C	50490	0: 50490~1: ELX	Unknown
3162	0: 3162~1: S.C	50499	0: 50499~1: POW	S.C|AMP
3163	0: 3163~1: I.M	50486	0: 50486~1: AMP	I.M|AMP
3163	0: 3163~1: I.M	Null	None	I.M|AMP
3163	0: 3163~1: I.M	0	None	I.M|AMP
3163	0: 3163~1: I.M	97832	0: 97832~1: I.M	I.M|AMP
3163	0: 3163~1: I.M	50494	0: 50494~1: INJ	I.M|AMP
3163	0: 3163~1: I.M	50501	0: 50501~1: SOL	I.M|AMP
3163	0: 3163~1: I.M	50487	0: 50487~1: CAP	I.M|AMP
3163	0: 3163~1: I.M	50506	0: 50506~1: TAB	Unknown
3163	0: 3163~1: I.M	50493	0: 50493~1: INH	Unknown
3163	0: 3163~1: I.M	50503	0: 50503~1: SUP	Unknown
3163	0: 3163~1: I.M	50495	0: 50495~1: LIQ	I.M|AMP
3163	0: 3163~1: I.M	59964	0: 59964~1: S.C	Unknown
3163	0: 3163~1: I.M	69808	0: 69808~1: I.V	Unknown
3163	0: 3163~1: I.M	50502	0: 50502~1: SPR	Unknown
3163	0: 3163~1: I.M	50505	0: 50505~1: SYR	Unknown
3163	0: 3163~1: I.M	50489	0: 50489~1: DRP	I.M|AMP
3163	0: 3163~1: I.M	50504	0: 50504~1: SUS	I.M|AMP
3163	0: 3163~1: I.M	97834	0: 97834~1: P.O	Unknown
3163	0: 3163~1: I.M	50490	0: 50490~1: ELX	Unknown
3164	0: 3164~1: P.R	630201	0: 630201~1: PATCH	S.C|AMP
3164	0: 3164~1: P.R	50503	0: 50503~1: SUP	P.R|SUP
3164	0: 3164~1: P.R	Null	None	P.R|SUP
3164	0: 3164~1: P.R	50486	0: 50486~1: AMP	P.R|SUP
3164	0: 3164~1: P.R	50502	0: 50502~1: SPR	P.R|SUP
3164	0: 3164~1: P.R	50506	0: 50506~1: TAB	P.R|SUP
3164	0: 3164~1: P.R	50495	0: 50495~1: LIQ	P.R|SUP
3164	0: 3164~1: P.R	50501	0: 50501~1: SOL	P.R|SUP
3164	0: 3164~1: P.R	50487	0: 50487~1: CAP	P.R|SUP
3164	0: 3164~1: P.R	50504	0: 50504~1: SUS	P.R|SUP
3164	0: 3164~1: P.R	50488	0: 50488~1: CRM	P.R|SUP
3164	0: 3164~1: P.R	50492	0: 50492~1: GEL	P.R|SUP
3164	0: 3164~1: P.R	50505	0: 50505~1: SYR	P.R|SUP
3164	0: 3164~1: P.R	50498	0: 50498~1: UNG	P.R|SUP
3164	0: 3164~1: P.R	50489	0: 50489~1: DRP	P.R|SUP
3164	0: 3164~1: P.R	50497	0: 50497~1: OINT	P.R|SUP
3164	0: 3164~1: P.R	50491	0: 50491~1: EML	P.R|SUP
3164	0: 3164~1: P.R	50494	0: 50494~1: INJ	P.R|SUP
3164	0: 3164~1: P.R	50499	0: 50499~1: POW	P.R|SUP
3164	0: 3164~1: P.R	7011354	None	P.R|SUP
